NAIP Entity ID ,State,Agency,Vendor,Map Projection,Projection Zone,Datum,Resolution,Units,Number of Bands,Sensor Type,Project Name,Acquisition Date,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID,Ordering ID,Browse Link
M_3209610_NW_14_060_20181120,TX,USDA,USDA-FSA-APFO,UTM,14N,NAD83,0.600000000000000,METER,4,CNIR,201805_TEXAS_NAIP_0X6000M_UTM_CNIR,2018/11/20,32°50'37.46"N,96°50'37.50"W,32°52'38.89"N,96°52'35.75"W,32°52'34.71"N,96°48'33.47"W,32°48'36.00"N,96°48'39.34"W,32°48'40.17"N,96°52'41.43"W,32.8437388,-96.8437499,32.8774693,-96.8765971,32.8763082,-96.8092972,32.81,-96.8109277,32.8111583,-96.8781749,M_3209610_NW_14_060_20181120,2792011,https://earthexplorer.usgs.gov/browse-link/15920/2792011
M_3209610_SW_14_060_20181120,TX,USDA,USDA-FSA-APFO,UTM,14N,NAD83,0.600000000000000,METER,4,CNIR,201805_TEXAS_NAIP_0X6000M_UTM_CNIR,2018/11/20,32°46'52.47"N,96°50'37.40"W,32°48'53.90"N,96°52'35.57"W,32°48'49.73"N,96°48'33.46"W,32°44'51.02"N,96°48'39.31"W,32°44'55.18"N,96°52'41.24"W,32.7812416,-96.8437221,32.8149722,-96.8765471,32.8138138,-96.8092944,32.7475055,-96.8109194,32.748661,-96.8781221,M_3209610_SW_14_060_20181120,2792013,https://earthexplorer.usgs.gov/browse-link/15920/2792013
M_3209617_NE_14_060_20181120,TX,USDA,USDA-FSA-APFO,UTM,14N,NAD83,0.600000000000000,METER,4,CNIR,201805_TEXAS_NAIP_0X6000M_UTM_CNIR,2018/11/20,32°43'07.51"N,96°54'22.42"W,32°45'08.78"N,96°56'20.60"W,32°45'04.73"N,96°52'18.66"W,32°41'06.21"N,96°52'24.32"W,32°41'10.24"N,96°56'26.09"W,32.7187527,-96.9062277,32.7524388,-96.9390555,32.7513138,-96.8718499,32.6850583,-96.8734221,32.6861777,-96.9405805,M_3209617_NE_14_060_20181120,2792038,https://earthexplorer.usgs.gov/browse-link/15920/2792038
M_3209617_NW_14_060_20181120,TX,USDA,USDA-FSA-APFO,UTM,14N,NAD83,0.600000000000000,METER,4,CNIR,201805_TEXAS_NAIP_0X6000M_UTM_CNIR,2018/11/20,32°43'07.51"N,96°58'07.44"W,32°45'08.72"N,97°00'05.59"W,32°45'04.80"N,96°56'03.87"W,32°41'06.27"N,96°56'09.37"W,32°41'10.18"N,97°00'10.91"W,32.7187527,-96.9687332,32.7524222,-97.0015527,32.7513333,-96.9344083,32.6850749,-96.935936,32.686161,-97.0030305,M_3209617_NW_14_060_20181120,2792039,https://earthexplorer.usgs.gov/browse-link/15920/2792039
M_3209617_SE_14_060_20181120,TX,USDA,USDA-FSA-APFO,UTM,14N,NAD83,0.600000000000000,METER,4,CNIR,201805_TEXAS_NAIP_0X6000M_UTM_CNIR,2018/11/20,32°39'22.52"N,96°54'22.49"W,32°41'23.79"N,96°56'20.71"W,32°41'19.75"N,96°52'18.70"W,32°37'21.22"N,96°52'24.35"W,32°37'25.25"N,96°56'26.19"W,32.6562555,-96.9062472,32.6899416,-96.939086,32.6888194,-96.871861,32.622561,-96.8734304,32.6236804,-96.9406083,M_3209617_SE_14_060_20181120,2792040,https://earthexplorer.usgs.gov/browse-link/15920/2792040
M_3209617_SW_14_060_20181120,TX,USDA,USDA-FSA-APFO,UTM,14N,NAD83,0.600000000000000,METER,4,CNIR,201805_TEXAS_NAIP_0X6000M_UTM_CNIR,2018/11/20,32°39'22.52"N,96°58'07.47"W,32°41'23.73"N,97°00'05.78"W,32°41'19.81"N,96°56'03.76"W,32°37'21.28"N,96°56'09.24"W,32°37'25.19"N,97°00'11.08"W,32.6562555,-96.9687416,32.6899249,-97.0016055,32.688836,-96.9343777,32.6225777,-96.9358999,32.6236638,-97.0030777,M_3209617_SW_14_060_20181120,2792042,https://earthexplorer.usgs.gov/browse-link/15920/2792042
M_3209618_NW_14_060_20181120,TX,USDA,USDA-FSA-APFO,UTM,14N,NAD83,0.600000000000000,METER,4,CNIR,201805_TEXAS_NAIP_0X6000M_UTM_CNIR,2018/11/20,32°43'07.49"N,96°50'37.40"W,32°45'08.92"N,96°52'35.61"W,32°45'04.75"N,96°48'33.45"W,32°41'06.04"N,96°48'39.28"W,32°41'10.20"N,96°52'41.27"W,32.7187471,-96.8437221,32.7524777,-96.8765582,32.7513194,-96.8092916,32.685011,-96.8109111,32.6861666,-96.8781304,M_3209618_NW_14_060_20181120,2792043,https://earthexplorer.usgs.gov/browse-link/15920/2792043
M_3209618_SW_14_060_20181120,TX,USDA,USDA-FSA-APFO,UTM,14N,NAD83,0.600000000000000,METER,4,CNIR,201805_TEXAS_NAIP_0X6000M_UTM_CNIR,2018/11/20,32°39'22.51"N,96°50'37.40"W,32°41'23.93"N,96°52'35.65"W,32°41'19.77"N,96°48'33.42"W,32°37'21.05"N,96°48'39.24"W,32°37'25.21"N,96°52'41.29"W,32.6562527,-96.8437221,32.6899805,-96.8765693,32.6888249,-96.8092833,32.6225138,-96.8109,32.6236693,-96.878136,M_3209618_SW_14_060_20181120,2792045,https://earthexplorer.usgs.gov/browse-link/15920/2792045
M_3209601_NE_14_060_20181120,TX,USDA,USDA-FSA-APFO,UTM,14N,NAD83,0.600000000000000,METER,4,CNIR,201805_TEXAS_NAIP_0X6000M_UTM_CNIR,2018/11/20,32°58'07.54"N,96°54'22.51"W,33°00'08.92"N,96°56'20.77"W,33°00'04.85"N,96°52'18.61"W,32°56'06.14"N,96°52'24.33"W,32°56'10.20"N,96°56'26.32"W,32.968761,-96.9062527,33.0024777,-96.9391027,33.0013472,-96.871836,32.9350388,-96.8734249,32.9361666,-96.9406444,M_3209601_NE_14_060_20181120,2792230,https://earthexplorer.usgs.gov/browse-link/15920/2792230
M_3209601_NW_14_060_20181120,TX,USDA,USDA-FSA-APFO,UTM,14N,NAD83,0.600000000000000,METER,4,CNIR,201805_TEXAS_NAIP_0X6000M_UTM_CNIR,2018/11/20,32°58'07.46"N,96°58'07.47"W,33°00'08.68"N,97°00'05.71"W,33°00'04.74"N,96°56'03.76"W,32°56'06.21"N,96°56'09.32"W,32°56'10.14"N,97°00'11.08"W,32.9687388,-96.9687416,33.0024111,-97.0015861,33.0013166,-96.9343777,32.9350583,-96.9359221,32.9361499,-97.0030777,M_3209601_NW_14_060_20181120,2792231,https://earthexplorer.usgs.gov/browse-link/15920/2792231
